,pk_credit_account_id,ifrs9_stage_on_granting_date_final,ifrs9_stage_final,ifrs9_assessment_type,credit_account_costs,credit_account_income,ifrs9_portfolio,poci_flag,expected_cashflow,ifrs9_bucket,pd_value,lgd_value,ccf_value,ead_value,pd_bucket,lgd_bucket,ccf_bucket,pd_vector_entry_id,prepayments_vector_entry_id,lgd_vector_entry_id,ccf_vector_entry_id,collateral_allocated,ecl_balance,ecl_offbalance,begaap_classification,begaap_provision_balance,begaap_provision_offbalance,asset_type,ppa,original_loan_amount,pk_snapshot_date,record_creation_date,insert_job_id,write_off_sum,ecl_balance_eur,ecl_offbalance_eur,begaap_provision_balance_eur,begaap_provision_offbalance_eur,begapp_assessment_type,ead_value_eur
41,AA193328NSQ9,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,1245.115,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,6.13387661,0.049837623,P_PAST_DUE,0,0,credit,,1250,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
42,AA19332SSX6P,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,964.67,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,3.371029753,1.419888042,P_PAST_DUE,0,0,credit,,1250,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
43,AA19332WSSX9,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,674.485,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,0.489983051,2.859765764,P_PAST_DUE,0,0,credit,,1250,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
44,AA19332P0VJQ,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,630.08,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,0.05006111,3.0791556,P_PAST_DUE,0,0,credit,,1250,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
45,AA193323ZLSP,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,698.505,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,0.724147868,2.744893394,P_PAST_DUE,0,0,credit,,1250,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
46,AA19332PWM5K,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,719.645,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,0.932139862,2.641890673,P_PAST_DUE,0,0,credit,,1250,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
47,AA193326H65P,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,665.185,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,0.395323848,2.908237632,P_PAST_DUE,0,0,credit,,1250,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
48,AA19332Z40X7,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,630.355,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,0.052742956,3.077839509,P_PAST_DUE,0,0,credit,,1250,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
49,AA19332B4B7K,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,850.495,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,2.228961008,1.99492035,P_PAST_DUE,0,0,credit,,1250,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
50,AA19332NTLK6,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,652.79,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,0.273746866,2.968256335,P_PAST_DUE,0,0,credit,,1250,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
